TID;CIVILSTAND;OMRÅDE;INDHOLD
2020K4;I alt;Hele landet;5837213
2020K4;I alt;Region Hovedstaden;1854296
2020K4;I alt;København;637936
2020K4;I alt;Frederiksberg;104351
2020K4;I alt;Dragør;14497
2020K4;I alt;Tårnby;42757
2020K4;I alt;Albertslund;27500
2020K4;I alt;Ballerup;48978
2020K4;I alt;Brøndby;35215
2020K4;I alt;Gentofte;74623
2020K4;I alt;Gladsaxe;69203
2020K4;I alt;Glostrup;23342
2020K4;I alt;Herlev;28914
2020K4;I alt;Hvidovre;53448
2020K4;I alt;Høje-Taastrup;51238
2020K4;I alt;Ishøj;23059
2020K4;I alt;Lyngby-Taarbæk;56624
2020K4;I alt;Rødovre;41025
2020K4;I alt;Vallensbæk;16483
2020K4;I alt;Allerød;25871
2020K4;I alt;Egedal;43471
2020K4;I alt;Fredensborg;40980
2020K4;I alt;Frederikssund;45489
2020K4;I alt;Furesø;40955
2020K4;I alt;Gribskov;41110
2020K4;I alt;Halsnæs;31518
2020K4;I alt;Helsingør;63047
2020K4;I alt;Hillerød;51261
2020K4;I alt;Hørsholm;24919
2020K4;I alt;Rudersdal;56873
2020K4;I alt;Bornholm;39519
2020K4;I alt;Christiansø;90
2020K4;I alt;Region Sjælland;838129
2020K4;I alt;Greve;50561
2020K4;I alt;Køge;61323
2020K4;I alt;Lejre;28133
2020K4;I alt;Roskilde;88758
2020K4;I alt;Solrød;23394
2020K4;I alt;Faxe;36605
2020K4;I alt;Guldborgsund;60309
2020K4;I alt;Holbæk;71812
2020K4;I alt;Kalundborg;48415
2020K4;I alt;Lolland;40618
2020K4;I alt;Næstved;83049
2020K4;I alt;Odsherred;32857
2020K4;I alt;Ringsted;34872
2020K4;I alt;Slagelse;79106
2020K4;I alt;Sorø;29977
2020K4;I alt;Stevns;22975
2020K4;I alt;Vordingborg;45365
2020K4;I alt;Region Syddanmark;1223183
2020K4;I alt;Assens;40791
2020K4;I alt;Faaborg-Midtfyn;51562
2020K4;I alt;Kerteminde;23833
2020K4;I alt;Langeland;12350
2020K4;I alt;Middelfart;39026
2020K4;I alt;Nordfyns;29586
2020K4;I alt;Nyborg;31918
2020K4;I alt;Odense;205881
2020K4;I alt;Svendborg;58355
2020K4;I alt;Ærø;5958
2020K4;I alt;Billund;26529
2020K4;I alt;Esbjerg;115498
2020K4;I alt;Fanø;3449
2020K4;I alt;Fredericia;51281
2020K4;I alt;Haderslev;55446
2020K4;I alt;Kolding;93092
2020K4;I alt;Sønderborg;73888
2020K4;I alt;Tønder;37122
2020K4;I alt;Varde;49671
2020K4;I alt;Vejen;42767
2020K4;I alt;Vejle;116665
2020K4;I alt;Aabenraa;58515
2020K4;I alt;Region Midtjylland;1330866
2020K4;I alt;Favrskov;48294
2020K4;I alt;Hedensted;46690
2020K4;I alt;Horsens;91764
2020K4;I alt;Norddjurs;36906
2020K4;I alt;Odder;22917
2020K4;I alt;Randers;98026
2020K4;I alt;Samsø;3666
2020K4;I alt;Silkeborg;94892
2020K4;I alt;Skanderborg;63144
2020K4;I alt;Syddjurs;43231
2020K4;I alt;Aarhus;353445
2020K4;I alt;Herning;89240
2020K4;I alt;Holstebro;58617
2020K4;I alt;Ikast-Brande;41376
2020K4;I alt;Lemvig;19594
2020K4;I alt;Ringkøbing-Skjern;56157
2020K4;I alt;Skive;45499
2020K4;I alt;Struer;20869
2020K4;I alt;Viborg;96539
2020K4;I alt;Region Nordjylland;590739
2020K4;I alt;Brønderslev;36183
2020K4;I alt;Frederikshavn;59187
2020K4;I alt;Hjørring;64213
2020K4;I alt;Jammerbugt;38288
2020K4;I alt;Læsø;1767
2020K4;I alt;Mariagerfjord;41543
2020K4;I alt;Morsø;20135
2020K4;I alt;Rebild;30438
2020K4;I alt;Thisted;43217
2020K4;I alt;Vesthimmerlands;36458
2020K4;I alt;Aalborg;219310
2020K4;Ugift;Hele landet;2859116
2020K4;Ugift;Region Hovedstaden;981652
2020K4;Ugift;København;417782
2020K4;Ugift;Frederiksberg;61020
2020K4;Ugift;Dragør;5856
2020K4;Ugift;Tårnby;19946
2020K4;Ugift;Albertslund;13701
2020K4;Ugift;Ballerup;22707
2020K4;Ugift;Brøndby;16317
2020K4;Ugift;Gentofte;35017
2020K4;Ugift;Gladsaxe;34749
2020K4;Ugift;Glostrup;11397
2020K4;Ugift;Herlev;13798
2020K4;Ugift;Hvidovre;26566
2020K4;Ugift;Høje-Taastrup;23898
2020K4;Ugift;Ishøj;10906
2020K4;Ugift;Lyngby-Taarbæk;28229
2020K4;Ugift;Rødovre;20234
2020K4;Ugift;Vallensbæk;7276
2020K4;Ugift;Allerød;10725
2020K4;Ugift;Egedal;18371
2020K4;Ugift;Fredensborg;17211
2020K4;Ugift;Frederikssund;18591
2020K4;Ugift;Furesø;17449
2020K4;Ugift;Gribskov;15964
2020K4;Ugift;Halsnæs;12741
2020K4;Ugift;Helsingør;27234
2020K4;Ugift;Hillerød;23405
2020K4;Ugift;Hørsholm;9669
2020K4;Ugift;Rudersdal;24844
2020K4;Ugift;Bornholm;16014
2020K4;Ugift;Christiansø;35
2020K4;Ugift;Region Sjælland;369548
2020K4;Ugift;Greve;21049
2020K4;Ugift;Køge;27484
2020K4;Ugift;Lejre;11615
2020K4;Ugift;Roskilde;41680
2020K4;Ugift;Solrød;10042
2020K4;Ugift;Faxe;15597
2020K4;Ugift;Guldborgsund;25683
2020K4;Ugift;Holbæk;32373
2020K4;Ugift;Kalundborg;21198
2020K4;Ugift;Lolland;16916
2020K4;Ugift;Næstved;38021
2020K4;Ugift;Odsherred;12941
2020K4;Ugift;Ringsted;16073
2020K4;Ugift;Slagelse;37371
2020K4;Ugift;Sorø;13338
2020K4;Ugift;Stevns;9167
2020K4;Ugift;Vordingborg;19000
2020K4;Ugift;Region Syddanmark;568943
2020K4;Ugift;Assens;17526
2020K4;Ugift;Faaborg-Midtfyn;22113
2020K4;Ugift;Kerteminde;9807
2020K4;Ugift;Langeland;4500
2020K4;Ugift;Middelfart;16533
2020K4;Ugift;Nordfyns;12586
2020K4;Ugift;Nyborg;13764
2020K4;Ugift;Odense;113639
2020K4;Ugift;Svendborg;26251
2020K4;Ugift;Ærø;2179
2020K4;Ugift;Billund;11695
2020K4;Ugift;Esbjerg;55161
2020K4;Ugift;Fanø;1229
2020K4;Ugift;Fredericia;23602
2020K4;Ugift;Haderslev;24725
2020K4;Ugift;Kolding;44962
2020K4;Ugift;Sønderborg;31983
2020K4;Ugift;Tønder;15722
2020K4;Ugift;Varde;21428
2020K4;Ugift;Vejen;19277
2020K4;Ugift;Vejle;55116
2020K4;Ugift;Aabenraa;25145
2020K4;Ugift;Region Midtjylland;657563
2020K4;Ugift;Favrskov;21719
2020K4;Ugift;Hedensted;20252
2020K4;Ugift;Horsens;44832
2020K4;Ugift;Norddjurs;16329
2020K4;Ugift;Odder;9561
2020K4;Ugift;Randers;47184
2020K4;Ugift;Samsø;1299
2020K4;Ugift;Silkeborg;44102
2020K4;Ugift;Skanderborg;28963
2020K4;Ugift;Syddjurs;18139
2020K4;Ugift;Aarhus;211863
2020K4;Ugift;Herning;41832
2020K4;Ugift;Holstebro;27431
2020K4;Ugift;Ikast-Brande;18585
2020K4;Ugift;Lemvig;7852
2020K4;Ugift;Ringkøbing-Skjern;24001
2020K4;Ugift;Skive;19993
2020K4;Ugift;Struer;8446
2020K4;Ugift;Viborg;45180
2020K4;Ugift;Region Nordjylland;281410
2020K4;Ugift;Brønderslev;16204
2020K4;Ugift;Frederikshavn;24560
2020K4;Ugift;Hjørring;28482
2020K4;Ugift;Jammerbugt;16352
2020K4;Ugift;Læsø;589
2020K4;Ugift;Mariagerfjord;17978
2020K4;Ugift;Morsø;8721
2020K4;Ugift;Rebild;13736
2020K4;Ugift;Thisted;18597
2020K4;Ugift;Vesthimmerlands;15965
2020K4;Ugift;Aalborg;120226
